ja	and
tavanomainen	mundane
kielteinen	negative
kaupallinen	commercial
kirkas	bright; clear; clear; clear
kokoinen	sized, of the size
lievä	mild; slight
maltillinen	moderate sober, level-headed; calm, collected, self-possessed
inhimillinen	human; humane
ankara	harsh, hard, strict; harsh, sharp, fierce; barren, austere, desolate
ilmeinen	apparent, evident, obvious
innokas	avid, eager, enthusiastic
vaatimaton	modest; humble
niminen	An adjective used to indicate the name of a person or object. Most often translated into English with name, named or namesake.
eräänlainen	a kind of a
kaikenlainen	all kinds of, every kind of
kriittinen	critical
pehmeä	soft
ikävä	tedious, boring; bad, sad
suuruinen	of the amount, order or magnitude
rankka	hard
konkreettinen	concrete
kokonainen	whole, full, complete; entire
ikäinen	old; at the age of, aged
vankka	robust, sturdy, strong; staunch
kiinteä	solid, rigid; firm; fixed; inseparable, essential, important
hullu	Crazy, mad, insane.
synkkä	gloomy; dismal, bleak; grim
ihana	wonderful, marvellous, marvelous; lovely, adorable; fabulous, fantastic
uudenlainen	novel, nontraditional
brittiläinen	British
tervetullut	welcomed
toisenlainen	of another kind
ainutlaatuinen	unique
itäinen	eastern
mainio	excellent, superb, great, wonderful, fine
sairas	Ill, sick.
jyrkkä	steep, abrupt; strict; radical
ylin	highest, uppermost, top; maximum, ceiling, top:
jyväskyläläinen	Of or pertaining to the city of Jyväskylä or its citizens.
ehdollinen	conditional
halukas	inclined, eager, willing
harmaa	Having a grey/gray colour.; Dreary, gloomy.; Having an indistinct or disputed quality.
pakollinen	compulsory, mandatory, obligatory
uskonnollinen	religious
värikäs	colourful/colorful.
vapaaehtoinen	volunteer; voluntary; voluntary
japanilainen	Japanese
vakituinen	permanent
huima	reckless, wild
alempi	lower, under-, nether
väliaikainen	temporary, transitory
syyllinen	Guilty.
ahdas	narrow; cramped
epävarma	insecure; uncertain
jälkimmäinen	latter, second
tumma	dark; dark-haired
varovainen	careful; cautious
kohtuuton	unconscionable; exorbitant, extortionate
kiinalainen	Chinese; In compounds often Sino-.; complicated
yksimielinen	unanimous
tieteellinen	scientific
minkälainen	what kind of
rohkea	brave, courageous, valiant
kapinallinen	rebellious
maakunnallinen	county, provincial
epävirallinen	unofficial
lähin	closest, nearest
huikea	Very large
ylpeä	proud
suosittu	popular; hot, in
norjalainen	Norwegian, of or relating to Norway.; Norwegian, relating to the Norwegian language:
määräaikainen	fixed-period, fixed-term, fixed-duration; temporary
alainen	subject to or under
kiivas	quick-tempered
kaksinkertainen	double, dual
poikkeuksellinen	Exceptional.
luotettava	reliable
kummallinen	odd, strange, peculiar
villi	Wild.
oululainen	Of or pertaining to the city of Oulu or its citizens.
yksinäinen	lonely; solitaire
terävä	sharp; smart, clever, bright, quick-witted
kapea	narrow
etninen	ethnic
innostunut	excited
maailmanlaajuinen	worldwide, global
tietoinen	conscious; cognizant
nykyaikainen	modern, contemporary, current
ulkoinen	External.
eilinen	"yesterday's"
kipeä	ill, sick; sore, aching; very good
sininen	blue
väkivaltainen	Violent
yhdysvaltalainen	American; Of United States origin.
joensuulainen	Of or pertaining to the city of Joensuu or its citizens.
kiireinen	hasty, rushed, hurried; busy; occupied
aikuinen	adult
viimevuotinen	of or pertaining to the last year, i.e. the year before the current one
moinen	Such
epäselvä	unclear; vague
ikuinen	everlasting, eternal; never-ending, perpetual
ylempi	upper, higher-up
paksu	thick; bold; pregnant
virolainen	Estonian, of or relating to Estonia.; Estonian, related to the Estonian language:
ongelmallinen	problematic
kultainen	golden; sweet
digitaalinen	digital
rakas	Loving, sweet.; Dear, beloved, cherished.
myöhä	late
niukka	scanty, scarce
vuotuinen	annual
pituinen	long
valoisa	Bright, full of light.
oleellinen	Essential
iäkäs	elderly
espanjalainen	Spanish
laadukas	quality, sterling, high-class
eettinen	ethical
monimutkainen	complex, complicated
luonteva	natural, relaxed, easygoing, smooth; natural, likely
hollantilainen	Dutch
realistinen	realistic
tarpeeton	useless, unnecessary, redundant, superfluous
tämänvuotinen	"This year's."
ruotsinkielinen	Swedish-speaking; Swedish
keltainen	yellow
keski-ikäinen	middle-aged
ristiriitainen	contradictory; conflicting; ambivalent
tanskalainen	Danish, of or relating to Denmark.; Danish, related to the Danish language:
ulkomaalainen	foreign
humanitaarinen	humanitarian
säännöllinen	regular
katolinen	Catholic
makea	sweet; fresh
laillinen	legal, lawful, legitimate
riippumaton	independent
yksilöllinen	individual
uskomaton	unbelievable, incredible
surkea	miserable, wretched; pitiful; lousy; squalid
islamilainen	Islamic
hämärä	Dim, dusky, shadowy, dark, gloomy.; Dim, indistinct, obscur; Dim, vague, obscure, mysterious, unknown.; Shady, fishy, suspicious.
ohut	thin
oiva	fine, splendid
alin	lowest, undermost.
kumma	odd, strange; in comparative, with negation, nasty, severe; on earth, in the world, the dickens
ihmeellinen	Wonderful.
päivittäinen	daily
kehno	bad, poor
kypsä	ripe; mature; baked; well done; fed up
reipas	brisk
ahkera	industrious, hardworking
yliopistollinen	academic
kyseenalainen	questionable; in question
kanadalainen	Canadian
sveitsiläinen	Swiss
vaalea	light, pale; blond fair
lahjakas	gifted
perusteellinen	thorough
hyvinkääläinen	of Hyvinkää
strateginen	strategic
rehellinen	honest
arkinen	everyday, ordinary
valtiollinen	state, governmental, national, public
peräkkäinen	successive, consecutive, serial
kaukainen	distant, remote, far-off
korkeatasoinen	high-level; high-class
jokapäiväinen	everyday, mundane, ordinary; daily
työtön	unemployed, jobless
kohtalainen	moderate
ortodoksinen	Orthodox; orthodox
kunnollinen	proper; reasonable; decent
asiallinen	matter-of-fact, proper, appropriate, businesslike
vauhdikas	speedy, fast, rapid; eventful
pysty	upright, vertical
dramaattinen	dramatic
vuosittainen	annual
tuollainen	that kind of
tuhoisa	destructive
liukas	slippery
moraalinen	Moral.
kauhea	bad, dreadful, unpleasant; difficult
ulkopoliittinen	foreign policy
liberaali	liberal
rakenteellinen	structural
luterilainen	Lutheran
maksuton	free; complimentary, gratuitous; free of charge; gratis; toll-free
olematon	nonexistent; negligible
kiihkeä	hectic, frenetic, feverish, frantic, harried, frenzied; passionate, torrid, ardent, fervent
luvaton	unauthorized, illicit
seksuaalinen	sexual
kiloinen	Together with a numeral, weighing X kilograms.
teollinen	industrial
senttinen	Together with a numeral, being X centimeters long.
tyylikäs	smart; stylish; elegant
kommunistinen	communist, communistic; Communist
pikainen	quick
viereinen	adjacent
vaisu	silent, not talkative; bland, wan
käsittämätön	inexplicable, incomprehensible, inscrutable, unintelligible
tilapäinen	temporary, provisional; occasional, casual; makeshift
uskottava	plausible, credible
siisti	clean, neat; cool, wicked
surullinen	sad
itävaltalainen	Austrian, related to Austria
radikaali	radical
australialainen	Australian
harva	infrequent, sparse; thin; loose; few
legendaarinen	legendary
tulopoliittinen	income policy ~
riippuvainen	dependent
uskollinen	faithful
negatiivinen	negative; Having negative charge.
perättäinen	A variant of peräkkäinen
oikeudenmukainen	Just, fair.
kiusallinen	awkward, embarrassing
etäinen	remote, distant
hengellinen	spiritual
ammattitaitoinen	qualified, professional; skilled
virheellinen	erroneous
romanttinen	romantic
kilpailukykyinen	competitive; competitive
luja	firm; sound; fast
pyöreä	round
israelilainen	Israeli.
musiikillinen	musical
tähänastinen	Used to refer to action that has taken place from undetermined past to this day and continues
kohtalokas	fateful; fatal
puutteellinen	insufficient, inadequate; incomplete
aseellinen	armed, equipped with weapons
karu	unfertile, barren
tylsä	dull, blunt.; boring.
loputon	Endless.
vakinainen	permanent
akateeminen	academic
tyytymätön	discontent, frustrated, dissatisfied
ainut	only
jollainen	as, such as
tyhmä	stupid
ehjä	intact
satunnainen	random; coincidental; extraordinary
hyödyllinen	useful, beneficial, helpful
myöhäinen	late
semmoinen	Alternative form of sellainen.
päinvastainen	reciprocal, backward, contrary
mieluisa	pleasant
haitallinen	Harmful, injurious, hazardous, detrimental, inimical.
belgialainen	Belgian
vastuullinen	accountable, answerable
persoonallinen	distinctive
pikkuinen	little, tiny
suoranainen	direct, obvious, patent
keskisuuri	middle-sized, medium
rento	Relaxed.
aurinkoinen	sunny
kokoomuslainen	Of or pertaining to Kokoomus, a liberal conservative political party in Finland. May be translated into English as Coalition, if the reader can be expected to be familiar with the Finnish party system. Otherwise conservative and liberal conservative are viable options.
ruma	ugly; ugly
sosiaalidemokraattinen	social democratic
ennenaikainen	premature, untimely
sitkeä	tough; resilient, hardy; viscous
katkera	bitter, resentful
terveellinen	healthy
ekologinen	ecological
kesäinen	summery
turkkilainen	Turkish
biologinen	biological
kuninkaallinen	royal
ensisijainen	primary
tasapainoinen	balanced
verinen	bloody; bloody; bloody
ystävällinen	friendly
tämänhetkinen	Occurring now
vaihtoehtoinen	alternative
tasokas	upscale, high-class; qualified
lääketieteellinen	medical
mielekäs	reasonable, sensible
likainen	dirty, unclean, filthy; dirty, unethical
äärimmäinen	extreme, ultra, ultra-
intialainen	Indian
tyyppinen	of a type, of a kind, of a style
eksoottinen	exotic
suotuisa	favourable/favorable, propitious, advantageous; beneficial
viileä	cool
päällimmäinen	topmost, uppermost; most urgent
keskustalainen	Relating to the Centre Party of Finland.; One who or which is located centre in the political spectrum.
tapainen	resembling, similar, like
kireä	tight, taut; tense
sunnuntainen	Pertaining to Sunday.
yksityiskohtainen	detailed; elaborate
viimeaikainen	recent
arka	tender, sore; sensitive; timid, shy, bashful
kemiallinen	chemical
suhteellinen	relative, proportionate
epämääräinen	vague, nonspecific, indefinite, uncertain; suspicious
massiivinen	massive
sekava	confused, unclear, mixed
hirveä	horrible, terrible.
kulttuurinen	cultural
nimetön	nameless, innominate; untitled; anonymous
onneton	unhappy
puolisotilaallinen	paramilitary
vanhanaikainen	antiquated, old-fashioned; obsolete
liiallinen	excessive
pohjoiskarjalainen	North Karelian
aikamoinen	quite a, quite some
julma	cruel; cruel
paljas	naked, unaided, unprotected; naked, unclothed; bare; barren; clear, blank
ennätyksellinen	unparalleled, record
englanninkielinen	An English-speaking person, Anglophone; Having been written or presented in English.
märkä	wet
puolueeton	fair; unbiased; nonaligned, neutral
sosialidemokraattinen	social democratic
otollinen	favourable/favorable, auspicious
puoleinen	being on the side of something; somewhat, a bit, -ish
kaksivuotinen	biennial
omituinen	bizarre, peculiar, strange; zany, wacky, kinky, oddball
hallinnollinen	administrative, administerial
ominainen	typical, characteristic
maksullinen	paid
muhkea	grand, impressive
psykiatrinen	psychiatric
keskisuomalainen	Pertaining to Central Finland.
maineikas	renowned, celebrated
psyykkinen	psychic
väkevä	strong; potent; concentrated
lakisääteinen	legal
nimekäs	famed, renowned, famous, well-known
sikäläinen	local
kirjava	colored, mottled, iridescent, multicolored; checkered
rikollinen	criminal
tyly	rude, harsh; dour
älykäs	intelligent
moninkertainen	multiple
rahallinen	monetary
kaksipäiväinen	two-day
herkullinen	delicious
traaginen	tragic
puolinen	Of location; -sided, -faceted
elektroninen	electronic
paikkainen	having a certain number of seats
talouspoliittinen	economic policy
raikas	fresh
lauantainen	Pertaining to Saturday.
uhanalainen	endangered; threatened
vaikutusvaltainen	Influential, powerful.
unkarilainen	Hungarian
arktinen	arctic
samainen	same
irlantilainen	Irish
turvallisuuspoliittinen	Of or pertaining to security politics/security policy.
huominen	"tomorrow's"
visuaalinen	visual
luontainen	natural, without additives
pienimuotoinen	small-scale
kunnianhimoinen	ambitious
maanantainen	Pertaining to Monday.
sula	molten; not having ice cover; pure
kiistaton	undisputed, indisputable, undisputable, incontrovertible, irrefutable
oivallinen	excellent, outstanding; fine
kiireellinen	urgent, exigent
löysä	soft; loose; slack
metrinen	metric
kostea	moist, wet
tiistainen	Pertaining to Tuesday.
aineellinen	corporeal
ammattimainen	professional
toiveikas	hopeful
torstainen	Pertaining to Thursday.
tämänkertainen	taking place this time
asianmukainen	appropriate, suitable
suullinen	oral
kreikkalainen	Greek; Greco-
vihainen	angry.
merkillinen	peculiar
perimmäinen	ultimate
syvällinen	profound
kuusivuotias	Six years old.
karjalainen	Karelian
puinen	wooden
menestyksekäs	successful
työläs	arduous
lyhytaikainen	brief, transient, momentary, ephemeral, short-term
teknillinen	technical
perjantainen	Pertaining to Friday.
miehinen	manly
kelpo	decent; good, fine
veroton	taxfree, taxless
muinainen	ancient
oloinen	appearing to be something, -like
viaton	innocent; immaculate; pure
teoreettinen	theoretic, theoretical
suppea	concise, succinct
samankaltainen	similar; homologous
karkea	rough; coarse; harsh
tiheä	dense, thick
liittokohtainen	union-specific, union-by-union
varakas	wealthy, affluent, prosperous, well-heeled.
kiitollinen	grateful, thankful
pirteä	perky, vivacious, lively
tappiollinen	unprofitable
jäseninen	-member; -limbed
oikeistolainen	right-wing
keinotekoinen	Artificial.
silkka	sheer, solid, pure
oikeudellinen	judicial; forensic
porvarillinen	bourgeois
syrjäinen	remote, back
keskiaikainen	medieval
päätoiminen	full-time
järeä	sturdy, heavy
psykologinen	psychological
kolmivuotinen	triennial
näkymätön	invisible
ihanteellinen	ideal
fiksu	clever, smart, sharp, bright
utelias	curious, inquisitive
luottavainen	trustful, confident
diplomaattinen	diplomatic
